"Id","Weekly_Sales"
"1_1_2012-11-02",15129.0916625749
"1_1_2012-11-09",15129.0916625749
"1_1_2012-11-16",15129.0916625749
"1_1_2012-11-23",15934.5329957193
"1_1_2012-11-30",15129.0916625749
"1_1_2012-12-07",15313.3737632757
"1_1_2012-12-14",15313.3737632757
"1_1_2012-12-21",15313.3737632757
"1_1_2012-12-28",16118.8150964201
"1_1_2013-01-04",13150.0704595129
"1_1_2013-01-11",13150.0704595129
"1_1_2013-01-18",13150.0704595129
"1_1_2013-01-25",13150.0704595129
"1_1_2013-02-01",13334.3525602137
"1_1_2013-02-08",14139.7938933581
"1_1_2013-02-15",13334.3525602137
"1_1_2013-02-22",13334.3525602137
"1_1_2013-03-01",13518.6346609145
"1_1_2013-03-08",13518.6346609145
"1_1_2013-03-15",13518.6346609145
"1_1_2013-03-22",13518.6346609145
"1_1_2013-03-29",13518.6346609145
"1_1_2013-04-05",13702.9167616153
"1_1_2013-04-12",13702.9167616153
"1_1_2013-04-19",13702.9167616153
"1_1_2013-04-26",13702.9167616153
"1_1_2013-05-03",13887.1988623161
"1_1_2013-05-10",13887.1988623161
"1_1_2013-05-17",13887.1988623161
"1_1_2013-05-24",13887.1988623161
"1_1_2013-05-31",13887.1988623161
"1_1_2013-06-07",14071.4809630168
"1_1_2013-06-14",14071.4809630168
"1_1_2013-06-21",14071.4809630168
"1_1_2013-06-28",14071.4809630168
"1_1_2013-07-05",14255.7630637176
"1_1_2013-07-12",14255.7630637176
"1_1_2013-07-19",14255.7630637176
"1_1_2013-07-26",14255.7630637176
"1_2_2012-11-02",15240.9264733356
"1_2_2012-11-09",15240.9264733356
"1_2_2012-11-16",15240.9264733356
"1_2_2012-11-23",16046.36780648
"1_2_2012-11-30",15240.9264733356
"1_2_2012-12-07",15425.2085740364
"1_2_2012-12-14",15425.2085740364
"1_2_2012-12-21",15425.2085740364
"1_2_2012-12-28",16230.6499071808
"1_2_2013-01-04",13261.9052702736
"1_2_2013-01-11",13261.9052702736
"1_2_2013-01-18",13261.9052702736
"1_2_2013-01-25",13261.9052702736
"1_2_2013-02-01",13446.1873709744
"1_2_2013-02-08",14251.6287041188
"1_2_2013-02-15",13446.1873709744
"1_2_2013-02-22",13446.1873709744
"1_2_2013-03-01",13630.4694716752
"1_2_2013-03-08",13630.4694716752
"1_2_2013-03-15",13630.4694716752
"1_2_2013-03-22",13630.4694716752
"1_2_2013-03-29",13630.4694716752
"1_2_2013-04-05",13814.751572376
"1_2_2013-04-12",13814.751572376
"1_2_2013-04-19",13814.751572376
"1_2_2013-04-26",13814.751572376
"1_2_2013-05-03",13999.0336730768
"1_2_2013-05-10",13999.0336730768
"1_2_2013-05-17",13999.0336730768
"1_2_2013-05-24",13999.0336730768
"1_2_2013-05-31",13999.0336730768
"1_2_2013-06-07",14183.3157737775
"1_2_2013-06-14",14183.3157737775
"1_2_2013-06-21",14183.3157737775
"1_2_2013-06-28",14183.3157737775
"1_2_2013-07-05",14367.5978744783
"1_2_2013-07-12",14367.5978744783
"1_2_2013-07-19",14367.5978744783
"1_2_2013-07-26",14367.5978744783
